companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 百一,6152,,-3.5,-4.19,-2.38,-12.86,-10.77,-8.14,-4.3,-9.04,-6.45,-3.08,-1.05,10.87,8.94,7.94,4.87,14.19,12.87,9.02
 嘉聯益,6153,,-0.47,-0.97,-1.4,7.43,3.95,-1.7,-1.02,5.07,2.45,1.27,0.86,8.55,3.16,0.56,1.27,13.14,7.82,4.17
 順發,6154,,6.29,3.98,2.38,6.63,5.64,3.59,2.03,9.61,7.61,4.8,2.72,10.93,8.19,5.04,2.61,10.47,7.86,5.47
 鈞寶,6155,,3.26,2.5,0.84,7.05,6.14,1.71,0.54,8.18,4.86,2.44,1.95,8.54,6.33,4.45,2.74,8.32,6.07,2.9
 松上,6156,,10.79,6.76,3.54,11.91,9.2,5,1.71,9.09,5.75,2.96,-0.07,0.7,-0.32,0.2,-2.18,5.26,5.11,4.34
 禾昌,6158,,4,2.24,0.77,0.45,-1.48,-3.2,-0.86,-7.72,-6.02,-5.92,-4.64,-12.95,-5.17,0.1,0.09,4.06,3.67,2.25
 欣技,6160,,8.04,7.98,5.5,4.32,-0.7,-0.86,0.23,3.48,1.11,0.81,1.57,4.43,4.67,3.4,0.57,7.75,7.56,8.32
 捷波,6161,,4.43,2.51,1.94,2.7,5.23,2.51,1.91,6.24,5.46,1.5,0.73,3.71,6.24,4.31,2.55,-23.15,6.09,3.43
 華電網,6163,,-10.88,-7.51,-5.11,-10.92,-4.74,0.38,-3.2,-5.48,-3.01,0.93,1.3,14.77,3.1,2.23,-3.12,16.99,13.96,8.4
 華興,6164,,7.91,7.28,0.85,3.3,2.79,2.27,0.72,8.17,6.35,3.77,0.83,10.46,7.98,5.16,1.93,2.12,1.41,0.22
